Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"D1",1,"Vermelho LED"
"D2",1,"Verde LED"
"D3",1,"Amarelo LED"
"R4, R1, R2",3,"220 Ω Resistor"
"S1",1," Botão"
"R3",1,"1 kΩ Resistor"
